,Job Title,Company Name,Location,Posted Date,Job Link
0,Data Analyst - Central Data Platform,Gojek,Jakarta,2023-09-12,https://id.linkedin.com/jobs/view/data-analyst-central-data-platform-at-gojek-3718618949?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=NqRrxWPTk6fnTCY8Ihetmw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Analyst,Gojek,Jakarta,2023-09-19,https://id.linkedin.com/jobs/view/data-analyst-at-gojek-3706120445?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=9Ff1pCIzLNYyrIYtaBd4YA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Analyst - Subscription,Gojek,Jakarta,2023-09-19,https://id.linkedin.com/jobs/view/data-analyst-subscription-at-gojek-3688243716?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=y7pbEdI%2BJN2cgQX00ntggg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Analyst - Transport (Jakarta),Gojek,Jakarta,2023-09-13,https://id.linkedin.com/jobs/view/data-analyst-transport-jakarta-at-gojek-3719326779?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=dvtrDJbn7QIVQy%2Fw5aFFJg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Analyst - Campaign Management,Gojek,Jakarta,2023-09-26,https://id.linkedin.com/jobs/view/data-analyst-campaign-management-at-gojek-3711205462?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=V9PFLYpRDxTPQauptE4M4g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Analyst - Rewards,Gojek,Jakarta,2023-09-22,https://id.linkedin.com/jobs/view/data-analyst-rewards-at-gojek-3689664004?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=jrbuEJ%2FURfkENPlvMUCEBQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Analyst,Stockbit,Area DKI Jakarta,2023-09-05,https://id.linkedin.com/jobs/view/data-analyst-at-stockbit-3710633064?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=M%2B8a%2FXOCmFZXn%2Bd1NqA%2BEw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Analytics Associate,Gravel,Area DKI Jakarta,2023-09-18,https://id.linkedin.com/jobs/view/data-analytics-associate-at-gravel-3718919281?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=2LuShttVXbll2h4fiDMFgg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,BI Analyst (SQL),Atome,Jakarta,2023-09-27,https://id.linkedin.com/jobs/view/bi-analyst-sql-at-atome-3728943143?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=kI6F2kKlZKfSSdjpdTMAgQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Analyst,AgriAku,Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-analyst-at-agriaku-3728814933?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=Y1MrXSQIFghkuBhglaIFfA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Analyst,Traveloka,Area DKI Jakarta,2023-08-11,https://id.linkedin.com/jobs/view/data-analyst-at-traveloka-3691368179?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=Qfk7NImXmCsCIsoSlB2Tmg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Data Engineer,PT Lion Super Indo,"Jakarta Raya, Indonesia",2023-09-21,https://id.linkedin.com/jobs/view/data-engineer-at-pt-lion-super-indo-3720303473?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=5pwVHxkJSdxb%2BjgpRhVvDg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Analyst,Kelola Talenta Global,Area DKI Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-analyst-at-kelola-talenta-global-3730242165?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=v0tpJoDnnkpLBOoW%2F451BA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Data Analyst Risk,Kredivo Group,"Jakarta Raya, Indonesia",2023-09-19,https://id.linkedin.com/jobs/view/data-analyst-risk-at-kredivo-group-3720741415?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=16h8P%2BBwUCr8ySV2otHLkA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Junior Data Analyst,JULO,Area DKI Jakarta,2023-09-05,https://id.linkedin.com/jobs/view/junior-data-analyst-at-julo-3710633069?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=LpiqI7Ix4lyuOf9qQJxogg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Business Intelligence,Moladin,Kota Jakarta Selatan,2023-09-07,https://id.linkedin.com/jobs/view/business-intelligence-at-moladin-3712649174?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=wvvkJq3oXiLpGJlNSd95Uw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Business MIS Analyst,PT. Mandala Multifinance Tbk,"Jakarta Raya, Indonesia",2023-09-14,https://id.linkedin.com/jobs/view/business-mis-analyst-at-pt-mandala-multifinance-tbk-3712760145?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=AU5%2BwctEZ9cJuKtvVh%2BiGA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Analyst,FIT HUB,Jakarta,2023-09-06,https://id.linkedin.com/jobs/view/data-analyst-at-fit-hub-3711147858?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=5m9nrdx%2BzR3dredxhOvE5A%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,"Business Intelligence & Analytics Intern - Business Intelligence & Data Analytics, SeaBank",SeaBank Indonesia,Jakarta,2023-09-27,https://id.linkedin.com/jobs/view/business-intelligence-analytics-intern-business-intelligence-data-analytics-seabank-at-seabank-indonesia-3728782184?refId=%2FGEE4Bs%2BVS6YfeRdSF4puw%3D%3D&trackingId=q8TgSOfLI5NSc0GlmGp13A%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
