Unnamed: 0,Job Title,Company Name,Location,Posted Date,Job Level,Job Type,Job Function,Industry,Job Description
0,Data Analyst - Central Data Platform,Gojek,Jakarta,2023-09-12,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","About The Role

The role is Associate Data Analyst (DA) working within the Shared Consumer Platform (SCP) - Goto CDP (Customer Data Platform)team

Together with 2 other DA teams, the scope is to serve Product, Business, and Data stakeholders in terms of providing data and analysis related to GoTo CDP attributes and finding potential areas that can be improved in terms of user personalization, category affinity, demographic, and any other data point across GoTo ecosystem

The challenge is that our team serves very dynamic and growing products and cross-collaboration with multiple teams across Operating Companies (Tokopedia, Gojek, GTF). This product is also expected to increase the cross pollination across the GoTo Platform, hence DA team need to understand not only Tokopedia data but also Gojek and GTF data as well.

What You Will Do

Understand Data & Analytics capabilities within Business Unit/Cluster
Working closely with Product (Feature, Functionality), Business (Campaign, Initiatives) and also Technology (Implementation)
Understand and Analyze Transactional (Order Related), Behavioral (Event Tracking, Client Activity), and Demographic data
Explore Various Datasets to Generate Insights, Conclusions and Recommendations
Produce actionable Dashboards for Monitoring, Reporting that Automates Insight Generation
Create concise and insightful analytical reports.
Collaborate and synergize across with other data functions such as Data Engineering, Data Tracker, and Data Scientist teams within GoTo group



What You Will Need


SQL skills - familiar with query language to derive valuable insights from databases.
Analytical skills - Able to break down problems into clear problem statements, objectives and solution steps.
Writing skills - Able to translate data into insightful stories in the form of a clear and concise document or deck.
Data Visualization Skill - Produce data visualization with a strong storytelling element using Tableau/Looker/PowerBI.
Statistical Skill - Familiar with statistical concept and approach especially in descriptive statistics, hypothesis testing, and regression analysis, using R or Python.
Team player with a positive attitude.
Experience working in a related field for at least 2 years or more.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
1,Data Analyst,Gojek,Jakarta,2023-09-19,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","About The Role

As our Data Analyst, you’ll be part of GoTo’s Enterprise Data Team that manages the Enterprise Data Warehouse as the Central repository of data for all Enterprise Functions which includes Finance, Accounting, Tax (FAT), HR, Corporate Planning, ESG, Procurement etc. This team is responsible for producing and managing GoTo’s critical Financial / Corporate reports. You’ll work as the Business Partner for these functions to enable some of these key processes. You’ll have ample opportunity to flex your SQL and Python programming skills, streamlining and automating various corporate planning and financial operations for the wider team to utilize.

Your Primary Responsibilities Includes

Understand a Business Problem and identify a Data Analytics Solution
Define the e-2-e flow of data to derive the Business Solution
Become the “Data Advisor” for business team and making an impact storytelling with data by summarizing, profiling, sampling and analyzing terabytes of data
Identify, analyze, and interpret patterns in complex data sets to investigate issues, find root causes, and propose solutions
Implement best practices in data model & SQL using knowledge of Gojek’s Business Functions
Develop data automation for data collection, analysis, output
Support the business functions in their day-to-day Business Data requirements
Build highly insightful data analytics, reports and dashboards
Provide inputs to Data Engineering teams on requirements to support data
Develop code and scripts using SQL and Python programming
Thorough Data Validation and correctness
Follow Organization standards for data quality, security, access
Identify data quality checks and propose improvements
Research opportunities for new use cases
Collaborate with Data and IT team members in enhancing the data platform

What Will You Do

Understand business requirements from users, analyze these findings, and develop the data solutions
Identify, analyze, and interpret patterns in complex data sets to investigate issues, find root causes, and propose solutions
Create and maintain optimal data analysis scripts
Identify opportunities for automation, efficient data collection, smarter analytics, enhanced visualization and other technical strategies to optimize reporting efficiency and quality
Assemble large, complex data sets that meet functional / non-functional business requirements.
Follow data governance and security guidelines

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
2,Data Analyst - Subscription,Gojek,Jakarta,2023-09-19,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","The role is Associate Data Analyst (DA) working within the Shared Consumer Platform (SCP) - Subscriptions Team.

Together with 3 other DA teams, the scope is to serve Product and Business stakeholders in providing data and analysis related to PLUS by GoTo products, TokoMember, Lite & Desktop, and Gamification.

The challenge is that our team serves dynamic and growing products especially PLUS by GoTo. This product is also expected to increase the cross-pollination across the GoTo Platform, hence DA team need to understand not only Tokopedia data but also Gojek and GTF data as well.

What You Will Do

Become SME (Subject Matter Expert) in terms of Data & Analytics within Business Unit/Cluster
Working closely with Product (Feature, Functionality), Business (Campaign, Initiatives) and also Technology (Implementation)
Understand and Analyze Transactional (Order Related), Behavioral (Event Tracking, Client Activity), and Demographic data
Explore Various Datasets to Generate Insights, Conclusions and Recommendations
Produce actionable Dashboards for Monitoring, Reporting that Automates Insight Generation
Create concise and insightful analytical reports.
Collaborate and synergize with other data functions such as Data Engineering, Data Tracker, and Data Scientist teams within the GoTo group



What You Will Need


SQL skills - familiar with query language to derive valuable insights from databases.
Analytical skills - Able to break down problems into clear problem statements, objectives and solution steps.
Writing skills - Able to translate data into insightful stories in the form of a clear and concise document or deck.
Data Visualization Skill - Produce data visualization with a strong storytelling element using Tableau/Looker/PowerBI.
Statistical Skill - Familiar with statistical concepts and approach especially in descriptive statistics, hypothesis testing, and regression analysis, using R or Python.
Team player with a positive attitude.
Experience working in a related field for at least 2 years or more.
Prefer to have a background in STEM or Economics.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
3,Data Analyst - Transport (Jakarta),Gojek,Jakarta,2023-09-13,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","If you’re a data analyst at heart, this role is for you! because you’ll be mining insights from the sea of data, building data products, and designing experiments with the ability to see the real-time impact of your contribution. You’ll get to work with a talented troop of business leads, product managers and fellow data folks, and spend a majority of your time diving deep into some of the most challenging analytical problems in Gojek Transport- Southeast Asia’s leading and fastest-growing ride-hailing business - including Product Experience, Partnership, Strategy & Planning streams.

What Will You Do

Design and analyze experiments
Perform exploratory data analysis using SQL and R/Python and present interesting findings to business stakeholders to drive business and strategic decisions
Build self-serve data products such as dashboards (GDS & Tableau) and tables to reduce time to insights
Perform advanced analytics when needed (such as building machine learning models using R/Python)



What You Will Need


Should have at least 4-5 years of practical experience in SQL and R/Python (there will be a technical phone screen to test you on this!)
Prior experience with applied statistics, experimental design (there will be a technical phone screen to test you on this!)
Able to tell a coherent data narrative using visualization tools and able to set best practices in data visualization to convey a product insight through impactful graphs
Proven ability to recognize business needs and ability to communicate with multiple stakeholders including PMs, business and operations
Balance attention to detail with swift execution

Our team, Transport Business Intelligence (BI) leverages its expertise and skills in data and analytics to solve some of Gojek’s core and most crucial issues. Our Transport team is a big family of 100+ members made up of engineers, analysts and product managers spread out across Jakarta, Bangalore, and Singapore. We run Southeast Asia’s leading and fastest-growing ride-hailing business, and oversee all things related to our riders and driver-partners’ needs in daily transport and work daily to create solutions to these issues. So it goes without saying that our team is equipped with Gojek’s vast amount of data and superb analytics tools.

We, the Transporters, know how to work hard and play hard. Though working from home has been a big change, it hasn’t made work boring - in fact, we’ve been enjoying this new work set up more than we expected! When we aren’t busy working, you’d probably find us playing online games like Among Us and Sketchful, or catching up with each other on our virtual hangouts. We work as a team to get our job done well, and genuinely enjoy each other's company.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
4,Data Analyst - Campaign Management,Gojek,Jakarta,2023-09-26,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","The Shared Consumer Platform team at GoTo is in search of a junior Data Analyst who will be responsible for providing analysis and insights from data within campaign management tools, such as data from our various marketing channels including push notifications, WhatsApp, email, notification center, HTDW, and more.

Moreover, the Data Analyst team is dedicated to acting as a valuable counterpart to the Product Team and Business Team, contributing to the development of analytics for the campaign management team. This collaboration aims to enhance the quality of the Analytics product.

What You Will Do

Become a SME (Subject Matter Expert) in terms of Data & Analytics within a dedicated Business Unit/Cluster
Work closely with Product (Feature, Functionality), Business (Campaign, Initiatives) and also Technology (Implementation)
Understand and analyze transactional (order related), behavioral (event tracking, client activity), and demographic data
Explore various datasets to generate insights, conclusions and recommendations
Produce actionable dashboards for monitoring, reporting that automates insight generation
Create concise and insightful analytical reports
Collaborate and synergize across with other data functions such as Data Engineering, Data Tracker, and Data Scientist teams within GoTo Group



What You Will Need


Has 1-2 years of working experience in data analytics or business intelligence
SQL skils: able to use query language to derive valuable insights from databases
Analytical skills: able to break down problems into clear problem statements, objectives and solution steps
Communication skills:- Able to translate data into insightful stories in the form of a clear and concise document or deck and also able to explain clearly
Data visualization skills: produce data visualization with a strong storytelling element using Tableau/Looker/PowerBI
Statistical skills: familiar with statistical concept and approach especially in descriptive statistics, hypothesis testing, and regression analysis, using R or Python
Team player with a positive attitude
Fresh graduates with a background in Statistics/IT/Computer Science are welcome

About The Team

The Shared Consumer Platform team will involve two teams, including Campaign Management and GoTo Passport. The Campaign Management team is responsible for distribution of communication channels for campaigns across Tokopedia which will include both internal and external channels such as In App Pop Up, Push Notification, Email, Whatsapp, SMS, and Notification Center. We enable users to get information regarding the latest campaign and interaction throughout the Tokopedia platform, based on their user behaviors. On expanding it, we’re also going to extend this capabilities to make the notification behavior to not include users’ action in Tokopedia but based on Gojek as well, creating a seamless experience for cross promotional campaign across GoTo platform.

The GoTo Passport profile team is responsible for the common profile for a person/user which connects all of their GoTo accounts/experiences together. We enable customers to sign up easily across different GoTo applications with the least friction and also empower them to update their personal information via a common profile management experience - cutting across all the apps. For example, gone are the days when users had to update their contact details separately in each of the GoTo Apps. In addition, we are a key enabler for SSO (Single sign-on) login across different GoTo apps, and making the sign-up process easy across apps - further reducing friction in how easily users can enjoy access to different services like shopping, mobility, food delivery, payments etc.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
5,Data Analyst - Rewards,Gojek,Jakarta,2023-09-22,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","As part of the Rewards team, this data analyst role holds a pivotal position in shaping the future of customer loyalty within the organization. Being a part of a newly formed and agile team brings exciting prospects for innovation and growth. The primary objective of this team is to design and implement a compelling loyalty program that establishes a strong bond between sellers and buyers. By utilizing data-driven insights and advanced analytical tools, the role aims to create a tailored rewards system that not only enhances customer retention but also enriches the overall shopping experience for both parties involved.

What You Will Do

Create business impact by working on strategic initiatives in GoTo Rewards focussed on analysis and experimentation
Build & maintain ETL/ELT pipelines in BigQuery for a variety of event data sources
Build & maintain dashboards for tracking business performance and product adoption
Deliver insight, analysis using statistical tools, data visualization, and business use case to product and business teams
Partner closely with Product Managers and Business teams to help them make decisions
Handle GoTo Rewards Product and Business team in identifying product or business opportunities and support in product delivery such as experimentation
Automate data extraction by creating denormalized tables or data marts based on business or product requirements



What You Will Need


At least 3 years of experience as Business Intelligence/Data Analyst
Understanding of Bigquery SQL, data manipulation, data pipeline job and scheduling, data visualization and Google DataStudio dashboarding
Comfortable working with guidance and in a team setting
Ability to transform an ambiguous business or product problem into a well-scoped and impactful analysis; able to design simple experiments
Familiar with Python scripting for statistical analysis and data modeling (machine learning)

About The Team

The Rewards team operates as a highly agile and versatile unit, dedicated to addressing the core challenge of creating a loyalty program that unites sellers and buyers seamlessly. Through a meticulous analysis of seller-customer interactions, the team identifies key issues pertaining to customer engagement. To tackle this, we have been iterating an innovative tool that empowers sellers to boost user engagement by constructing personalized loyalty programs directly within the ecosystem. This strategic approach not only strengthens the bond between sellers and buyers but also enhances the overall user experience, fostering long-term loyalty and success within the platform.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
6,Data Analyst,Stockbit,Area DKI Jakarta,2023-09-05,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","Responsibilities




Serve as a strategic advisor, partnering with cross-functional teams to understand business objectives, challenges, and opportunities.
Collaborate with the Marketing and Product teams to define and track success metrics for marketing campaigns, product features, and overall business growth.
Analyze customer behavior and segmentation to identify acquisition, retention, and satisfaction opportunities.
Collaborate with business stakeholders to develop data-driven strategies and action plans to optimize business processes, improve operational efficiency, and drive cost savings.
Identify and implement A/B testing and experimentation initiatives to evaluate the impact of different strategies, features, and campaigns.
Translate data analysis findings into clear, concise recommendations to drive revenue growth, optimize marketing initiatives, and improve product performance.
Conduct comprehensive data analysis, leveraging advanced statistical methods and analytical tools to uncover actionable insights and trends.
Develop and present impactful reports, dashboards, and presentations to communicate insights, recommendations, and progress to stakeholders at all levels of the organization.
Requirements




A Bachelor's degree, preferably in Computer Science, Statistics, Mathematics, Economics or Engineering
Min 1 year of relevant work experience in management/strategic consulting, banking, FinTech, online payments/e-wallets, eCommerce, and/or start-ups.
Strong foundation in data query/manipulation using SQL and data visualization using tools like Tableau.
Quantitative discipline with strong business sense and ability to articulate complex analysis results to a wide range of audiences, and translate these to actionable business insights. Primarily driven by quantitative outcome for all decision-making.
Ability to pinpointing the problem and find a solution from the data
Possess structured critical thinking, detail-oriented. Experience in analyzing & quantifying complex strategic issues tied to long-term business growth.
Effective communicator to both technical and business audiences"
7,Data Analytics Associate,Gravel,Area DKI Jakarta,2023-09-18,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","Company Description




Gravel is a technology company that makes it simple for you to find qualified and trustworthy construction workers. Since 2019, we have committed to making a difference through the power of technology for both our clients' projects and blue collar workers.




We aim to solve quality labor shortages by democratizing access to blue collar workforces without boundaries, while also providing our clients with peace of mind through our excellent services.




Gravel's culture emphasizes a results-oriented, flexible work environment. We ensure that each of our Gravity achieves the highest quality by providing a comfortable and safe environment in which to grow together.




Job Description




Interpret data, analyze results using query and statistical method
Develop dashboards, reports, and visualizations to effectively communicate findings to stakeholders
Monitor and analyze performance metrics to provide actionable insights to business team
Devise data mining process and architecture
Contribute to the development of predictive models and machine learning algorithms to forecast business performance
Work with cross - functional team to prioritize business and information needs
Qualifications




At least 1 years of work experience as Data Analyst or related fields (Business Intelligence, Data Engineer, Data Scientist)
Proficient in SQL-based language, Data scripting languages (Python or R)
Experience with big data technologies or relevant tools (e.g. Superset, Google BigQuery, Google Data Studio, etc)
Understand in basics of data science (e.g. math/statistics, algorithm, logic, data cleansing and preparation,etc)
Strong analytical skills and statistical reasoning
Has good communication skills and enjoys working with the team
A fast-learner with high initiative and curiosity"
8,BI Analyst (SQL),Atome,Jakarta,2023-09-27,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","About Atome Financial




Headquartered in Singapore, Atome Financial is a consumer business unit under Advance Intelligence Group. The products under Atome Financial include:




Atome: A leading buy now pay later brand in Asia Pacific which is currently present in 10 markets and partners over 15,000+ top retailers. Key merchant partners include ZALORA, Sephora, Agoda, SHEIN and Zara.




Kredit Pintar: One of Indonesia's top digital lending apps, regulated and supervised by Indonesia's Financial Services Authority (OJK). Over 10 million downloads, 2 million customer reviews and with a 4.4-star rating on Google Play Store.




As part of the Advance Intelligence Group, a Series-D company and ranked No. 1 on LinkedIn's 2021 Top Startups List in Singapore with over 2,000+ staff worldwide, we are united by a shared vision and purpose: to Advance with Intelligence for a Better Life--for our customers, colleagues and communities.




Our culture is built on values that are core to who we are and what we stand for:




We foster an INNOVATION mindset
We achieve results with EFFICIENCY and excellence
We take pride in the QUALITY of our work
We uphold INTEGRITY in all we do
We embrace COLLABORATION to work across business lines and borders




Responsibilities:




Extract and process huge amounts of data from various sources on the internal big-data platform.
Work closely with operation/marketing/finance/partnership teams across different markets, to help provide insights for decision and to develop/maintain effective data visualization.
In-charge of end-to-end analytics projects, from context gathering to data presentation.
Understand the modeling skills of data warehouse. Can work on top of the data warehouse and provide feedback on new data requests.




Requirements:




Bachelor’s / Master’s Degree in Computer Science/IT/Statistics/Engineer/Business Analytics or any other related fields.
At least 1-2 years experience in business intelligence analytics.
Proficient in writing SQL queries.
Ability to work with complex data sets.
Strong communication and presentation skills, as well as an analytical mindset.




Preferred Qualifications:




Familiar with Tableau.
Familiar with Apache Spark.
Familiar with Python.
Familiar with Git (optional).


"
9,Data Analyst,AgriAku,Jakarta,2023-09-29,Tingkat pemula,Penuh waktu,Teknologi Informasi,"Teknologi, Informasi, dan Internet","Company Description




AgriAku is a leading technology-based local agribusiness company in Indonesia. Launched late last year, AgriAku's mission is empower mitra through sustainable, inclusive and profitable technology business models.




We are here to provide services for the needs of saprotan (sarana produksi pertanian) or agricultural production facilities that can be ordered through the application, anytime and anywhere with ease.




Job Description




Conduct data discovery, exploration and insights generation for business, operational and product improvements
Gather requirements & develop reports for business, operational and product team to support their decision making
Improve data quality and resolve data related issues that may occur together with data engineer and other related parties
Regularly review data reports/dashboards and its performance, take action to address the issues, and follow up to ensure problem resolution.
Qualifications




Bachelor’s degree in System Information, Computer Science, Mathematics, Statistics, or other related fields
Excellent SQL understanding and spreadsheet skill for modeling, forecasting and data visualization
Experience in data visualization tools - such as Google Data Studio, Metabase, Looker Redash - is a plus
A good communicator
Outstanding analytical, logical skills




Additional Information




Hybrid working options during the COVID-19 pandemic (i.e. working from home and within the main Jakarta office)."
