,Job Title,Company Name,Location,Posted Date,Job Link
0,Data Analyst - Subscription,Gojek,Jakarta,2023-09-19,https://id.linkedin.com/jobs/view/data-analyst-subscription-at-gojek-3688243716?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=1si1q90vuhcsAfA7yO78mQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Data Analyst - Transport (Jakarta),Gojek,Jakarta,2023-09-13,https://id.linkedin.com/jobs/view/data-analyst-transport-jakarta-at-gojek-3719326779?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=QNzIEe2tukHWNuY6SKvh%2BQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Data Analyst - Central Data Platform,Gojek,Jakarta,2023-09-12,https://id.linkedin.com/jobs/view/data-analyst-central-data-platform-at-gojek-3718618949?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=Nm%2FdowS0WXPThOEUAoeLIA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Analyst - Campaign Management,Gojek,Jakarta,2023-09-26,https://id.linkedin.com/jobs/view/data-analyst-campaign-management-at-gojek-3711205462?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=FAPQBIyo7g6HPj1T%2B2kHQQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Analyst - Rewards,Gojek,Jakarta,2023-09-22,https://id.linkedin.com/jobs/view/data-analyst-rewards-at-gojek-3689664004?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=DL9ocR2jKID8k60eth13XA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Analytics Associate,Gravel,Area DKI Jakarta,2023-09-18,https://id.linkedin.com/jobs/view/data-analytics-associate-at-gravel-3718919281?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=kdsTy2Vo%2F1cI%2FUyPGLkEcg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Analyst,Stockbit,Area DKI Jakarta,2023-09-05,https://id.linkedin.com/jobs/view/data-analyst-at-stockbit-3710633064?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=wX%2B6WIMOYH5vJdDOZuPbBg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Engineer,PT Lion Super Indo,"Jakarta Raya, Indonesia",2023-09-21,https://id.linkedin.com/jobs/view/data-engineer-at-pt-lion-super-indo-3720303473?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=IdP0A4FuptYHBc0Hf8oTKw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Analyst,Traveloka,Area DKI Jakarta,2023-08-11,https://id.linkedin.com/jobs/view/data-analyst-at-traveloka-3691368179?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=WvkW%2B9bNLj%2BLATvpunmCqQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Analyst,Astra Financial Indonesia,Area DKI Jakarta,2023-08-16,https://id.linkedin.com/jobs/view/data-analyst-at-astra-financial-indonesia-3695200806?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=3p8JNYe7Jh4uN8ySjtWrmA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,BI Analyst (SQL),Atome,Jakarta,2023-09-05,https://id.linkedin.com/jobs/view/bi-analyst-sql-at-atome-3728943143?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=6DV%2FyszsvcYkBu6tHso20w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Junior Data Analyst,JULO,Area DKI Jakarta,2023-09-26,https://id.linkedin.com/jobs/view/junior-data-analyst-at-julo-3710633069?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=3zj2gY8VFi%2B3rLfnG6F%2B1A%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Data Analyst,HTC Global Services,"Jakarta Raya, Indonesia",2023-09-14,https://id.linkedin.com/jobs/view/data-analyst-at-htc-global-services-3728129957?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=7ahubTh2D%2Bvd76sgy1tATw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Business MIS Analyst,PT. Mandala Multifinance Tbk,"Jakarta Raya, Indonesia",2023-09-06,https://id.linkedin.com/jobs/view/business-mis-analyst-at-pt-mandala-multifinance-tbk-3712760145?refId=SWi9t6BvftZw9SvxjoyPZQ%3D%3D&trackingId=eqzqYShOrm4vA%2FDwAjufJw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
